id,label,hemisphere,structure
340,L_VMV2_ROI,L,cortex
341,L_31pd_ROI,L,cortex
342,L_31a_ROI,L,cortex
343,L_VVC_ROI,L,cortex
344,L_25_ROI,L,cortex
345,L_s32_ROI,L,cortex
346,L_pOFC_ROI,L,cortex
347,L_PoI1_ROI,L,cortex
348,L_Ig_ROI,L,cortex
349,L_FOP5_ROI,L,cortex
350,L_p10p_ROI,L,cortex
351,L_p47r_ROI,L,cortex
352,L_TGv_ROI,L,cortex
353,L_MBelt_ROI,L,cortex
354,L_LBelt_ROI,L,cortex
355,L_A4_ROI,L,cortex
356,L_STSva_ROI,L,cortex
357,L_TE1m_ROI,L,cortex
358,L_PI_ROI,L,cortex
359,L_a32pr_ROI,L,cortex
360,L_p24_ROI,L,cortex
